theme,model,strategy,fold,title,year,label,score,latency_s,from_cache,error
slr,llama3.2:3b,few-shot-random,2,In search of what we experimentally know about unit testing,2006,1,6,5.979,False,
slr,llama3.2:3b,few-shot-random,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,8.619,False,
slr,llama3.2:3b,few-shot-random,2,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies",2006,1,6,10.764,False,
slr,llama3.2:3b,few-shot-random,2,What do we know about defect detection methods?,2006,1,6,8.267,False,
slr,llama3.2:3b,few-shot-random,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,7.639,False,
slr,llama3.2:3b,few-shot-random,2,"A systematic review of statistical power in software engineering
experiments",2006,1,6,7.253,False,
slr,llama3.2:3b,few-shot-random,2,Are CMM program investments beneficial? Analyzing past studies,2006,1,6,9.386,False,
slr,llama3.2:3b,few-shot-random,3,A survey of component based system quality assurance and assessment,2005,0,6,10.564,False,
slr,llama3.2:3b,few-shot-random,3,"Impact of software engineering research on the practice of software
configuration management",2005,0,6,6.787,False,
slr,llama3.2:3b,few-shot-random,3,"The impact of software engineering research on modern progamming
languages",2005,0,6,11.092,False,
slr,llama3.2:3b,few-shot-random,3,Combating architectural degeneration: a survey,2005,0,6,8.955,False,
slr,llama3.2:3b,few-shot-random,3,Software effort estimation terminology: the tower of Babel,2005,1,6,10.397,False,
slr,llama3.2:3b,few-shot-random,3,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction",2005,1,6,9.472,False,
slr,llama3.2:3b,few-shot-random,3,A survey of controlled experiments in software engineering,2005,1,6,12.293,False,
slr,llama3.2:3b,few-shot-random,3,Do SQA programs work – CMM works: A meta analysis,2005,1,6,5.757,False,
slr,llama3.2:3b,few-shot-similar,1,Survey of component-based software development,2007,0,6,4.886,False,
slr,llama3.2:3b,few-shot-similar,1,Achieving Quality in Open Source Software,2007,0,6,4.461,False,
slr,llama3.2:3b,few-shot-similar,1,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice,2007,0,6,5.359,False,
slr,llama3.2:3b,few-shot-similar,1,A systematic review of theory use in software engineering experiments,2007,1,6,5.502,False,
slr,llama3.2:3b,few-shot-similar,1,"Estimation of software development work effort: evidence on expert
judgement and formal models",2007,1,6,7.178,False,
slr,llama3.2:3b,few-shot-similar,1,A systematic review of software development cost estimation studies,2007,1,6,3.832,False,
slr,llama3.2:3b,few-shot-similar,1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review",2007,1,6,5.578,False,
slr,llama3.2:3b,few-shot-similar,1,Systematic review of Web engineering research,2007,1,6,4.795,False,
slr,llama3.2:3b,few-shot-similar,2,"Hands-on, simulated and remote laboratories: a comparative literature
review",2006,0,6,4.733,False,
slr,llama3.2:3b,few-shot-similar,2,"A literature survey of the quality economics of defect-detection
techniques",2006,0,6,10.656,False,
slr,llama3.2:3b,few-shot-similar,2,Distribution Dimensions in Software Development Projects: A Taxonomy,2006,0,6,13.272,False,
slr,llama3.2:3b,few-shot-similar,2,The golden age of software architecture,2006,0,6,12.297,False,
slr,llama3.2:3b,few-shot-similar,2,In search of what we experimentally know about unit testing,2006,1,6,12.387,False,
slr,llama3.2:3b,few-shot-similar,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,12.09,False,
slr,llama3.2:3b,few-shot-similar,2,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies",2006,1,6,10.497,False,
slr,llama3.2:3b,few-shot-similar,2,What do we know about defect detection methods?,2006,1,6,11.138,False,
slr,llama3.2:3b,few-shot-similar,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,13.641,False,
slr,llama3.2:3b,few-shot-similar,2,"A systematic review of statistical power in software engineering
experiments",2006,1,6,5.408,False,
slr,llama3.2:3b,few-shot-similar,2,Are CMM program investments beneficial? Analyzing past studies,2006,1,6,4.288,False,
slr,llama3.2:3b,few-shot-similar,3,A survey of component based system quality assurance and assessment,2005,0,6,4.969,False,
slr,llama3.2:3b,few-shot-similar,3,"Impact of software engineering research on the practice of software
configuration management",2005,0,6,4.715,False,
slr,llama3.2:3b,few-shot-similar,3,"The impact of software engineering research on modern progamming
languages",2005,0,6,5.098,False,
slr,llama3.2:3b,few-shot-similar,3,Combating architectural degeneration: a survey,2005,0,6,4.108,False,
slr,llama3.2:3b,few-shot-similar,3,Software effort estimation terminology: the tower of Babel,2005,1,6,4.942,False,
slr,llama3.2:3b,few-shot-similar,3,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction",2005,1,6,5.501,False,
slr,llama3.2:3b,few-shot-similar,3,A survey of controlled experiments in software engineering,2005,1,6,6.136,False,
slr,llama3.2:3b,few-shot-similar,3,Do SQA programs work – CMM works: A meta analysis,2005,1,6,12.73,False,
slr,gemma2:2b,zero-shot,1,Survey of component-based software development,2007,0,6,25.14,False,
slr,gemma2:2b,zero-shot,1,Achieving Quality in Open Source Software,2007,0,6,3.144,False,
slr,gemma2:2b,zero-shot,1,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice,2007,0,6,3.57,False,
slr,gemma2:2b,zero-shot,1,A systematic review of theory use in software engineering experiments,2007,1,6,3.937,False,
slr,gemma2:2b,zero-shot,1,"Estimation of software development work effort: evidence on expert
judgement and formal models",2007,1,6,3.531,False,
slr,gemma2:2b,zero-shot,1,A systematic review of software development cost estimation studies,2007,1,6,3.615,False,
slr,gemma2:2b,zero-shot,1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review",2007,1,6,3.799,False,
slr,gemma2:2b,zero-shot,1,Systematic review of Web engineering research,2007,1,6,3.21,False,
slr,gemma2:2b,zero-shot,2,"Hands-on, simulated and remote laboratories: a comparative literature
review",2006,0,2,3.392,False,
slr,gemma2:2b,zero-shot,2,"A literature survey of the quality economics of defect-detection
techniques",2006,0,6,3.077,False,
slr,gemma2:2b,zero-shot,2,Distribution Dimensions in Software Development Projects: A Taxonomy,2006,0,6,4.522,False,
slr,gemma2:2b,zero-shot,2,The golden age of software architecture,2006,0,2,3.675,False,
slr,gemma2:2b,zero-shot,2,In search of what we experimentally know about unit testing,2006,1,6,3.51,False,
slr,gemma2:2b,zero-shot,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,3.576,False,
slr,gemma2:2b,zero-shot,2,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies",2006,1,6,3.733,False,
slr,gemma2:2b,zero-shot,2,What do we know about defect detection methods?,2006,1,6,3.195,False,
slr,gemma2:2b,zero-shot,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,3.412,False,
slr,gemma2:2b,zero-shot,2,"A systematic review of statistical power in software engineering
experiments",2006,1,6,2.746,False,
slr,gemma2:2b,zero-shot,2,Are CMM program investments beneficial? Analyzing past studies,2006,1,2,2.66,False,
slr,gemma2:2b,zero-shot,3,A survey of component based system quality assurance and assessment,2005,0,6,2.796,False,
slr,gemma2:2b,zero-shot,3,"Impact of software engineering research on the practice of software
configuration management",2005,0,2,3.097,False,
slr,gemma2:2b,zero-shot,3,"The impact of software engineering research on modern progamming
languages",2005,0,2,3.065,False,
slr,gemma2:2b,zero-shot,3,Combating architectural degeneration: a survey,2005,0,6,2.917,False,
slr,gemma2:2b,zero-shot,3,Software effort estimation terminology: the tower of Babel,2005,1,6,2.91,False,
slr,gemma2:2b,zero-shot,3,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction",2005,1,6,2.873,False,
slr,gemma2:2b,zero-shot,3,A survey of controlled experiments in software engineering,2005,1,6,2.99,False,
slr,gemma2:2b,zero-shot,3,Do SQA programs work – CMM works: A meta analysis,2005,1,6,3.199,False,
slr,gemma2:2b,few-shot-random,1,Survey of component-based software development,2007,0,6,4.071,False,
slr,gemma2:2b,few-shot-random,1,Achieving Quality in Open Source Software,2007,0,6,3.888,False,
slr,gemma2:2b,few-shot-random,1,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice,2007,0,6,4.633,False,
slr,gemma2:2b,few-shot-random,1,A systematic review of theory use in software engineering experiments,2007,1,6,4.379,False,
slr,gemma2:2b,few-shot-random,1,"Estimation of software development work effort: evidence on expert
judgement and formal models",2007,1,6,4.223,False,
slr,gemma2:2b,few-shot-random,1,A systematic review of software development cost estimation studies,2007,1,6,4.289,False,
slr,gemma2:2b,few-shot-random,1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review",2007,1,6,4.319,False,
slr,gemma2:2b,few-shot-random,1,Systematic review of Web engineering research,2007,1,6,3.643,False,
slr,gemma2:2b,few-shot-random,2,"Hands-on, simulated and remote laboratories: a comparative literature
review",2006,0,6,4.006,False,
slr,gemma2:2b,few-shot-random,2,"A literature survey of the quality economics of defect-detection
techniques",2006,0,6,4.774,False,
slr,gemma2:2b,few-shot-random,2,Distribution Dimensions in Software Development Projects: A Taxonomy,2006,0,6,5.082,False,
slr,gemma2:2b,few-shot-random,2,The golden age of software architecture,2006,0,6,3.961,False,
slr,gemma2:2b,few-shot-random,2,In search of what we experimentally know about unit testing,2006,1,6,4.072,False,
slr,gemma2:2b,few-shot-random,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,3.826,False,
slr,gemma2:2b,few-shot-random,2,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies",2006,1,6,4.183,False,
slr,gemma2:2b,few-shot-random,2,What do we know about defect detection methods?,2006,1,6,3.872,False,
slr,gemma2:2b,few-shot-random,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,3.96,False,
slr,gemma2:2b,few-shot-random,2,"A systematic review of statistical power in software engineering
experiments",2006,1,6,4.271,False,
slr,gemma2:2b,few-shot-random,2,Are CMM program investments beneficial? Analyzing past studies,2006,1,6,3.715,False,
slr,gemma2:2b,few-shot-random,3,A survey of component based system quality assurance and assessment,2005,0,6,4.088,False,
slr,gemma2:2b,few-shot-random,3,"Impact of software engineering research on the practice of software
configuration management",2005,0,6,5.494,False,
slr,gemma2:2b,few-shot-random,3,"The impact of software engineering research on modern progamming
languages",2005,0,6,5.276,False,
slr,gemma2:2b,few-shot-random,3,Combating architectural degeneration: a survey,2005,0,6,5.729,False,
slr,gemma2:2b,few-shot-random,3,Software effort estimation terminology: the tower of Babel,2005,1,6,5.126,False,
slr,gemma2:2b,few-shot-random,3,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction",2005,1,6,5.631,False,
slr,gemma2:2b,few-shot-random,3,A survey of controlled experiments in software engineering,2005,1,6,5.117,False,
slr,gemma2:2b,few-shot-random,3,Do SQA programs work – CMM works: A meta analysis,2005,1,6,5.898,False,
slr,gemma2:2b,few-shot-similar,1,Survey of component-based software development,2007,0,6,5.911,False,
slr,gemma2:2b,few-shot-similar,1,Achieving Quality in Open Source Software,2007,0,6,5.481,False,
slr,gemma2:2b,few-shot-similar,1,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice,2007,0,6,6.255,False,
slr,gemma2:2b,few-shot-similar,1,A systematic review of theory use in software engineering experiments,2007,1,6,5.725,False,
slr,gemma2:2b,few-shot-similar,1,"Estimation of software development work effort: evidence on expert
judgement and formal models",2007,1,6,5.562,False,
slr,gemma2:2b,few-shot-similar,1,A systematic review of software development cost estimation studies,2007,1,6,5.475,False,
slr,gemma2:2b,few-shot-similar,1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review",2007,1,6,5.813,False,
slr,gemma2:2b,few-shot-similar,1,Systematic review of Web engineering research,2007,1,6,5.559,False,
slr,gemma2:2b,few-shot-similar,2,"Hands-on, simulated and remote laboratories: a comparative literature
review",2006,0,6,5.728,False,
slr,gemma2:2b,few-shot-similar,2,"A literature survey of the quality economics of defect-detection
techniques",2006,0,6,5.794,False,
slr,gemma2:2b,few-shot-similar,2,Distribution Dimensions in Software Development Projects: A Taxonomy,2006,0,6,5.709,False,
slr,gemma2:2b,few-shot-similar,2,The golden age of software architecture,2006,0,6,5.713,False,
slr,gemma2:2b,few-shot-similar,2,In search of what we experimentally know about unit testing,2006,1,6,5.917,False,
slr,gemma2:2b,few-shot-similar,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,5.484,False,
slr,gemma2:2b,few-shot-similar,2,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies",2006,1,6,5.818,False,
slr,gemma2:2b,few-shot-similar,2,What do we know about defect detection methods?,2006,1,6,5.471,False,
slr,gemma2:2b,few-shot-similar,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,5.625,False,
slr,gemma2:2b,few-shot-similar,2,"A systematic review of statistical power in software engineering
experiments",2006,1,6,5.59,False,
slr,gemma2:2b,few-shot-similar,2,Are CMM program investments beneficial? Analyzing past studies,2006,1,6,5.838,False,
slr,gemma2:2b,few-shot-similar,3,A survey of component based system quality assurance and assessment,2005,0,6,6.159,False,
slr,gemma2:2b,few-shot-similar,3,"Impact of software engineering research on the practice of software
configuration management",2005,0,6,6.171,False,
slr,gemma2:2b,few-shot-similar,3,"The impact of software engineering research on modern progamming
languages",2005,0,6,6.058,False,
slr,gemma2:2b,few-shot-similar,3,Combating architectural degeneration: a survey,2005,0,6,5.966,False,
slr,gemma2:2b,few-shot-similar,3,Software effort estimation terminology: the tower of Babel,2005,1,6,5.734,False,
slr,gemma2:2b,few-shot-similar,3,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction",2005,1,6,6.228,False,
slr,gemma2:2b,few-shot-similar,3,A survey of controlled experiments in software engineering,2005,1,6,5.943,False,
slr,gemma2:2b,few-shot-similar,3,Do SQA programs work – CMM works: A meta analysis,2005,1,6,5.898,False,
slr,qwen2.5:3b,zero-shot,1,Survey of component-based software development,2007,0,3,22.663,False,
slr,qwen2.5:3b,zero-shot,1,Achieving Quality in Open Source Software,2007,0,3,3.547,False,
slr,qwen2.5:3b,zero-shot,1,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice,2007,0,3,3.315,False,
slr,qwen2.5:3b,zero-shot,1,A systematic review of theory use in software engineering experiments,2007,1,6,3.676,False,
slr,qwen2.5:3b,zero-shot,1,"Estimation of software development work effort: evidence on expert
judgement and formal models",2007,1,6,4.501,False,
slr,qwen2.5:3b,zero-shot,1,A systematic review of software development cost estimation studies,2007,1,6,4.077,False,
slr,qwen2.5:3b,zero-shot,1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review",2007,1,6,3.828,False,
slr,qwen2.5:3b,zero-shot,1,Systematic review of Web engineering research,2007,1,6,4.789,False,
slr,qwen2.5:3b,zero-shot,2,"Hands-on, simulated and remote laboratories: a comparative literature
review",2006,0,3,3.604,False,
slr,qwen2.5:3b,zero-shot,2,"A literature survey of the quality economics of defect-detection
techniques",2006,0,6,4.106,False,
slr,qwen2.5:3b,zero-shot,2,Distribution Dimensions in Software Development Projects: A Taxonomy,2006,0,3,3.622,False,
slr,qwen2.5:3b,zero-shot,2,The golden age of software architecture,2006,0,3,3.412,False,
slr,qwen2.5:3b,zero-shot,2,In search of what we experimentally know about unit testing,2006,1,4,3.56,False,
slr,qwen2.5:3b,zero-shot,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,4.199,False,
slr,qwen2.5:3b,zero-shot,2,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies",2006,1,6,3.844,False,
slr,qwen2.5:3b,zero-shot,2,What do we know about defect detection methods?,2006,1,4,4.499,False,
slr,qwen2.5:3b,zero-shot,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,3,3.559,False,
slr,qwen2.5:3b,zero-shot,2,"A systematic review of statistical power in software engineering
experiments",2006,1,5,3.374,False,
slr,qwen2.5:3b,zero-shot,2,Are CMM program investments beneficial? Analyzing past studies,2006,1,3,3.256,False,
slr,qwen2.5:3b,zero-shot,3,A survey of component based system quality assurance and assessment,2005,0,4,3.889,False,
slr,qwen2.5:3b,zero-shot,3,"Impact of software engineering research on the practice of software
configuration management",2005,0,3,3.612,False,
slr,qwen2.5:3b,zero-shot,3,"The impact of software engineering research on modern progamming
languages",2005,0,3,3.803,False,
slr,qwen2.5:3b,zero-shot,3,Combating architectural degeneration: a survey,2005,0,3,3.522,False,
slr,qwen2.5:3b,zero-shot,3,Software effort estimation terminology: the tower of Babel,2005,1,4,3.507,False,
slr,qwen2.5:3b,zero-shot,3,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction",2005,1,4,3.831,False,
slr,qwen2.5:3b,zero-shot,3,A survey of controlled experiments in software engineering,2005,1,3,3.647,False,
slr,qwen2.5:3b,zero-shot,3,Do SQA programs work – CMM works: A meta analysis,2005,1,7,3.43,False,
slr,qwen2.5:3b,few-shot-random,1,Survey of component-based software development,2007,0,4,6.658,False,
slr,qwen2.5:3b,few-shot-random,1,Achieving Quality in Open Source Software,2007,0,4,3.933,False,
slr,qwen2.5:3b,few-shot-random,1,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice,2007,0,4,3.61,False,
slr,qwen2.5:3b,few-shot-random,1,A systematic review of theory use in software engineering experiments,2007,1,7,4.111,False,
slr,qwen2.5:3b,few-shot-random,1,"Estimation of software development work effort: evidence on expert
judgement and formal models",2007,1,4,4.129,False,
slr,qwen2.5:3b,few-shot-random,1,A systematic review of software development cost estimation studies,2007,1,7,4.0,False,
slr,qwen2.5:3b,few-shot-random,1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review",2007,1,6,4.744,False,
slr,qwen2.5:3b,few-shot-random,1,Systematic review of Web engineering research,2007,1,7,3.507,False,
slr,qwen2.5:3b,few-shot-random,2,"Hands-on, simulated and remote laboratories: a comparative literature
review",2006,0,4,5.688,False,
slr,qwen2.5:3b,few-shot-random,2,"A literature survey of the quality economics of defect-detection
techniques",2006,0,6,4.151,False,
slr,qwen2.5:3b,few-shot-random,2,Distribution Dimensions in Software Development Projects: A Taxonomy,2006,0,4,3.625,False,
slr,qwen2.5:3b,few-shot-random,2,The golden age of software architecture,2006,0,4,4.369,False,
slr,qwen2.5:3b,few-shot-random,2,In search of what we experimentally know about unit testing,2006,1,4,4.271,False,
slr,qwen2.5:3b,few-shot-random,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,4.068,False,
slr,qwen2.5:3b,few-shot-random,2,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies",2006,1,6,4.356,False,
slr,qwen2.5:3b,few-shot-random,2,What do we know about defect detection methods?,2006,1,4,4.355,False,
slr,qwen2.5:3b,few-shot-random,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,4,3.625,False,
slr,qwen2.5:3b,few-shot-random,2,"A systematic review of statistical power in software engineering
experiments",2006,1,6,3.757,False,
slr,qwen2.5:3b,few-shot-random,2,Are CMM program investments beneficial? Analyzing past studies,2006,1,4,3.499,False,
slr,qwen2.5:3b,few-shot-random,3,A survey of component based system quality assurance and assessment,2005,0,7,5.559,False,
slr,qwen2.5:3b,few-shot-random,3,"Impact of software engineering research on the practice of software
configuration management",2005,0,4,3.516,False,
slr,qwen2.5:3b,few-shot-random,3,"The impact of software engineering research on modern progamming
languages",2005,0,7,4.089,False,
slr,qwen2.5:3b,few-shot-random,3,Combating architectural degeneration: a survey,2005,0,4,4.932,False,
slr,qwen2.5:3b,few-shot-random,3,Software effort estimation terminology: the tower of Babel,2005,1,4,4.44,False,
slr,qwen2.5:3b,few-shot-random,3,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction",2005,1,4,4.939,False,
slr,qwen2.5:3b,few-shot-random,3,A survey of controlled experiments in software engineering,2005,1,6,3.937,False,
slr,qwen2.5:3b,few-shot-random,3,Do SQA programs work – CMM works: A meta analysis,2005,1,7,4.636,False,
slr,qwen2.5:3b,few-shot-similar,1,Survey of component-based software development,2007,0,4,6.844,False,
slr,qwen2.5:3b,few-shot-similar,1,Achieving Quality in Open Source Software,2007,0,4,5.781,False,
slr,qwen2.5:3b,few-shot-similar,1,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice,2007,0,4,5.344,False,
slr,qwen2.5:3b,few-shot-similar,1,A systematic review of theory use in software engineering experiments,2007,1,7,6.73,False,
slr,qwen2.5:3b,few-shot-similar,1,"Estimation of software development work effort: evidence on expert
judgement and formal models",2007,1,4,6.352,False,
slr,qwen2.5:3b,few-shot-similar,1,A systematic review of software development cost estimation studies,2007,1,7,4.325,False,
slr,qwen2.5:3b,few-shot-similar,1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review",2007,1,7,6.009,False,
slr,qwen2.5:3b,few-shot-similar,1,Systematic review of Web engineering research,2007,1,7,5.195,False,
slr,qwen2.5:3b,few-shot-similar,2,"Hands-on, simulated and remote laboratories: a comparative literature
review",2006,0,4,5.547,False,
slr,qwen2.5:3b,few-shot-similar,2,"A literature survey of the quality economics of defect-detection
techniques",2006,0,6,5.675,False,
slr,qwen2.5:3b,few-shot-similar,2,Distribution Dimensions in Software Development Projects: A Taxonomy,2006,0,4,5.054,False,
slr,qwen2.5:3b,few-shot-similar,2,The golden age of software architecture,2006,0,4,5.533,False,
slr,qwen2.5:3b,few-shot-similar,2,In search of what we experimentally know about unit testing,2006,1,5,6.031,False,
slr,qwen2.5:3b,few-shot-similar,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,7,5.265,False,
slr,qwen2.5:3b,few-shot-similar,2,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies",2006,1,7,5.814,False,
slr,qwen2.5:3b,few-shot-similar,2,What do we know about defect detection methods?,2006,1,4,5.791,False,
slr,qwen2.5:3b,few-shot-similar,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,4,5.421,False,
slr,qwen2.5:3b,few-shot-similar,2,"A systematic review of statistical power in software engineering
experiments",2006,1,7,5.531,False,
slr,qwen2.5:3b,few-shot-similar,2,Are CMM program investments beneficial? Analyzing past studies,2006,1,4,4.438,False,
slr,qwen2.5:3b,few-shot-similar,3,A survey of component based system quality assurance and assessment,2005,0,5,5.574,False,
slr,qwen2.5:3b,few-shot-similar,3,"Impact of software engineering research on the practice of software
configuration management",2005,0,4,5.348,False,
slr,qwen2.5:3b,few-shot-similar,3,"The impact of software engineering research on modern progamming
languages",2005,0,4,5.258,False,
slr,qwen2.5:3b,few-shot-similar,3,Combating architectural degeneration: a survey,2005,0,4,6.56,False,
slr,qwen2.5:3b,few-shot-similar,3,Software effort estimation terminology: the tower of Babel,2005,1,4,4.349,False,
slr,qwen2.5:3b,few-shot-similar,3,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction",2005,1,4,5.469,False,
slr,qwen2.5:3b,few-shot-similar,3,A survey of controlled experiments in software engineering,2005,1,4,4.462,False,
slr,qwen2.5:3b,few-shot-similar,3,Do SQA programs work – CMM works: A meta analysis,2005,1,7,4.852,False,
mdwe,llama3.2:3b,zero-shot,1,{Model-Driven} Web Engineering {(MDWE} 2008),2009,0,6,21.793,False,
mdwe,llama3.2:3b,zero-shot,1,{Model-Driven} Web Engineering for the Automated Configuration of Web Content Management Systems,2009,1,6,4.187,False,
mdwe,llama3.2:3b,zero-shot,1,Integrating a Usability Model into {Model-Driven} Web Development Processes,2009,1,6,3.819,False,
mdwe,llama3.2:3b,zero-shot,1,Model-driven in reverse: the practical experience of the {AQUA} project,2009,1,6,3.98,False,
mdwe,llama3.2:3b,zero-shot,1,A {Model-Driven} Reverse Engineering Approach for Semantic Web Services Composition,2009,0,6,4.226,False,
mdwe,llama3.2:3b,zero-shot,1,Bridging Test and {Model-Driven} Approaches in Web Engineering,2009,1,6,3.906,False,
